PH,SBD,LPP,SW,RW ,STW,Chl a,Chl B,Total Chl ,TF,TP ,FY
23.27,7.51,9.67,13.55,1.02,5.49,0.45,0.18,0.56,90.33,4.51,54.9
20.12,4.98,9,9.08,0.87,4.31,0.59,0.31,0.85,89.66,6.88,34.24
27.69,6.5,9.67,10.25,0.62,4.13,0.63,0.25,0.77,88.89,6.22,41.92
20.6,8.92,10,8.66,0.62,3.8,0.68,0.26,0.77,94.55,4.55,39.25
18.37,4.25,7.67,4.95,0.48,2.01,0.66,0.31,0.85,79.88,2.9,20.31
17.72,4.6,8,5.29,0.39,1.88,0.64,0.31,0.87,95.67,62.55,18.9
17.97,4.55,9.33,5.24,0.38,2.03,0.56,0.24,0.71,86.32,14,20.43
23.83,5.99,9.67,7.4,0.61,3.6,0.59,0.31,0.87,13.11,6.22,35.92
16.09,5.67,8.33,4.1,0.18,1.06,0.65,0.25,0.75,54.39,49.77,9.44
19.7,4.36,10,3.97,0.37,1.28,0.64,0.27,0.81,75.1,11.43,12.56
15.55,5.77,8.67,5.28,0.49,3.89,0.49,0.18,0.57,75.54,14.74,39.74
17.15,4.3,6.67,4.65,0.35,1.55,0.55,0.24,0.71,84.43,17.43,15.57
21.8,4.52,8.33,8.18,0.57,3.33,0.67,0.29,0.81,94.55,22.31,33.18
22.33,6.6,11.33,5.66,0.37,2.54,0.52,0.19,0.58,43.67,1.01,25.39
20.47,4.55,9,6,0.4,3.07,0.62,0.26,0.79,45.2,10.32,27.65
17.13,4.39,6.33,6.12,0.2,3.24,0.49,0.19,0.55,45.56,10.77,32.96
18.63,5.4,8.33,7.23,0.53,2.55,0.68,0.33,0.94,66.33,19.31,25.26
