"","PH","SBD","LPP","SW","RW","STW","Chl.a","Chl.B","Total.Chl","TF","TP","FY"
"nbr.val",17,17,17,17,17,17,17,17,17,17,17,17
"nbr.null",0,0,0,0,0,0,0,0,0,0,0,0
"nbr.na",0,0,0,0,0,0,0,0,0,0,0,0
"min",15.55,4.25,6.33,3.97,0.18,1.06,0.45,0.18,0.55,13.11,1.01,9.44
"max",27.69,8.92,11.33,13.55,1.02,5.49,0.68,0.33,0.94,95.67,62.55,54.9
"range",12.14,4.67,5,9.58,0.84,4.43,0.23,0.15,0.39,82.56,61.54,45.46
"sum",338.42,92.86,150,115.61,8.45,49.76,10.11,4.37,12.76,1223.18,264.92,487.62
"median",19.7,4.98,9,6,0.48,3.07,0.62,0.26,0.77,79.88,10.77,27.65
"mean",19.9070588235294,5.46235294117647,8.82352941176471,6.80058823529412,0.497058823529412,2.92705882352941,0.594705882352941,0.257058823529412,0.750588235294118,71.9517647058824,15.5835294117647,28.6835294117647
"SE.mean",0.76458454919778,0.318857714685615,0.30400142847051,0.610394924346378,0.0521435004260186,0.293809618112651,0.0177008982627424,0.0120282970862815,0.0293992620485028,5.74724033746108,4.01155297979331,2.89395108768685
"CI.mean.0.95",1.62084683754707,0.675948159059613,0.644454239185466,1.29397943473964,0.110539282873063,0.622848566399182,0.037524228028164,0.0254988507338157,0.0623236514098155,12.1836052472819,8.50411241997065,6.13490224647446
"var",9.93802205882353,1.72839411764706,1.57108676470588,6.33389338235294,0.0462220588235294,1.46750955882353,0.0053264705882353,0.00245955882352941,0.0146933823529412,561.523115441176,273.573474264706,142.374199264706
"std.dev",3.15246285605771,1.31468403719185,1.25342999992257,2.51672274642102,0.214993159945914,1.21140808930085,0.0729826732055993,0.0495939393830477,0.12121626274119,23.6964789671625,16.5400566584491,11.932066009904
"coef.var",0.15835904660771,0.240680902781191,0.142055399991224,0.370074272892979,0.432530617642667,0.413865303820627,0.12272061765531,0.192928368309339,0.161495020893435,0.329338398634513,1.06138065526814,0.415990160716065
