,PH,SBD,LPP,SW,RW,STW,Chl.a,Chl.B,Total.Chl,TF,TP,FY
nbr.val,17,17,17,17,17,17,17,17,17,17,17,17
nbr.null,0,0,0,0,0,0,0,0,0,0,0,0
nbr.na,0,0,0,0,0,0,0,0,0,0,0,0
min,15.55,4.25,6.33,3.97,0.18,1.06,0.45,0.18,0.55,13.11,1.01,9.44
max,27.69,8.92,11.33,13.55,1.02,5.49,0.68,0.33,0.94,95.67,62.55,54.9
range,12.14,4.67,5,9.58,0.84,4.43,0.23,0.15,0.39,82.56,61.54,45.46
sum,338.42,92.86,150,115.61,8.45,49.76,10.11,4.37,12.76,1223.18,264.92,487.62
median,19.7,4.98,9,6,0.48,3.07,0.62,0.26,0.77,79.88,10.77,27.65
mean,19.90705882,5.462352941,8.823529412,6.800588235,0.497058824,2.927058824,0.594705882,0.257058824,0.750588235,71.95176471,15.58352941,28.68352941
SE.mean,0.764584549,0.318857715,0.304001428,0.610394924,0.0521435,0.293809618,0.017700898,0.012028297,0.029399262,5.747240337,4.01155298,2.893951088
CI.mean.0.95,1.620846838,0.675948159,0.644454239,1.293979435,0.110539283,0.622848566,0.037524228,0.025498851,0.062323651,12.18360525,8.50411242,6.134902246
var,9.938022059,1.728394118,1.571086765,6.333893382,0.046222059,1.467509559,0.005326471,0.002459559,0.014693382,561.5231154,273.5734743,142.3741993
std.dev,3.152462856,1.314684037,1.25343,2.516722746,0.21499316,1.211408089,0.072982673,0.049593939,0.121216263,23.69647897,16.54005666,11.93206601
coef.var,0.158359047,0.240680903,0.1420554,0.370074273,0.432530618,0.413865304,0.122720618,0.192928368,0.161495021,0.329338399,1.061380655,0.415990161
skewness,0.727045885,1.130315012,-0.20865976,1.099538318,0.777446519,0.226396152,-0.53157059,-0.245623166,-0.439914799,-0.932544029,1.73478556,0.271924517
skew.2SE,0.661254481,1.028031217,-0.189777845,1.00003955,0.70709429,0.205909246,-0.48346802,-0.22339638,-0.40010629,-0.848156809,1.577802375,0.247317685
kurtosis,-0.131174607,0.406500331,-0.43848338,0.56128696,0.140617646,-0.916269889,-1.151914739,-1.326784362,-1.155185027,-0.215617131,1.996758332,-0.712711252
kurt.2SE,-0.061688711,0.191168719,-0.206209687,0.263961677,0.066129578,-0.430902824,-0.541721735,-0.623959311,-0.543259684,-0.101400288,0.939034246,-0.335173397
normtest.W,0.947206018,0.843050786,0.968838133,0.885921818,0.922689095,0.971552399,0.914314765,0.911556125,0.909902828,0.863971424,0.731559948,0.975233256
normtest.p,0.413857244,0.008417217,0.797770253,0.039707061,0.163968971,0.845045319,0.118332348,0.106280484,0.099660745,0.017644476,0.000269515,0.901773797
