"","Distance","Rsquare","Number"
"1",10,0.796761214440398,947
"2",20,0.678756202712494,355
"3",30,0.631484322286474,249
"4",40,0.660107733906578,174
"5",50,0.656593754652754,112
"6",60,0.626599509157152,70
"7",70,0.738404028647421,29
"8",80,0.401331671123177,6
"9",90,0.368008524402955,7
"10",100,0.496436034598835,9
"11",200,0.433278607322854,25
"12",300,0.265176984000415,5
"13",400,0.463366723154797,7
"14",500,0.489619963331773,8
"15",600,0.398874325983943,7
"16",700,0.361228176181846,5
"17",800,0.343781645597891,5
"18",900,0.479143215707945,4
"19",1000,0.757349251963021,3
"20",1100,0.313274546655768,4
"21",1200,0.611103843059324,8
"22",1300,0.320158703130762,4
"23",1400,0.63448027506067,7
"24",1500,0.831786765416476,1
"25",1600,0.432415828411742,10
"26",1700,0.74904874440605,2
"27",1800,0.397147501271834,4
"28",1900,0.360790345213672,4
"29",2000,0.634905886449692,2
"30",2100,0.365464891460415,6
"31",2200,NA,0
"32",2300,0.796159881083817,1
"33",2400,0.808021337222073,3
"34",2680.5,0.336333186802507,12
"35",2880.5,0.563745561158631,6
"36",3080.5,0.826634881160573,2
"37",3280.5,0.393933572035936,6
"38",3807.33333333333,0.414935865458645,20
"39",4307.33333333333,0.466950167328695,20
"40",4807.33333333333,0.512274779520258,8
"41",5961,0.445508087508575,25
"42",6961,0.535508106710534,25
"43",7961,0.299014318811453,18
"44",8961,0.460402398278851,10
